year,state,month,number
2010,Acre,Maio,9.0
2005,Piau,Marco,13.0
2015,Ceara,Novembro,1.081
2008,Amapa,Setembro,83.0
2012,Tocantins,Julho,1.693
2011,Amapa,Fevereiro,3.0
2015,Amapa,Fevereiro,1.0
2008,Espirito Santo,Fevereiro,20.0
2002,Santa Catarina,Maio,3.0
2001,Rio,Janeiro,12.0
2013,Acre,Maio,4.0
2001,Alagoas,Dezembro,30.0
2005,Para,Maio,37.0
2000,Paraiba,Fevereiro,11.0
2005,Rondonia,Agosto,6.672000000000001
2017,Santa Catarina,Maio,36.0
1999,Amapa,Outubro,25.0
1999,Sergipe,Setembro,0.0
2002,Goias,Setembro,3.52
2008,Distrito Federal,Janeiro,0.0
2003,Paraiba,Fevereiro,3.0
2006,Minas Gerais,Maio,62.0
2011,Mato Grosso,Julho,1.061
2001,Goias,Setembro,1.8630000000000002
2013,Goias,Junho,192.0
2014,Sao Paulo,Agosto,1.4580000000000002
2004,Alagoas,Outubro,12.0
2006,Para,Outubro,5.9639999999999995
2014,Rio,Janeiro,35.0
2010,Rio,Janeiro,13.0
2007,Maranhao,Junho,515.0
2017,Bahia,Junho,329.0
2000,Goias,Outubro,905.0
2015,Rio,Maio,4.0
2004,Acre,Dezembro,7.0
2003,Ceara,Janeiro,264.0
2007,Rio,Novembro,1.0
2010,Rio,Junho,4.0
2009,Rondonia,Maio,6.0
2002,Roraima,Julho,7.0
2002,Mato Grosso,Abril,230.0
2015,Para,Julho,906.0
2008,Para,Dezembro,684.0
2005,Ceara,Janeiro,384.0
2008,Mato Grosso,Maio,119.0
2005,Amazonas,Fevereiro,6.0
2003,Mato Grosso,Outubro,5.341
2011,Acre,Julho,93.0
2016,Roraima,Julho,0.0
2003,Sergipe,Agosto,0.0
2016,Alagoas,Outubro,74.0
2016,Bahia,Maio,259.0
2008,Tocantins,Agosto,845.0
2009,Goias,Agosto,647.0
2006,Alagoas,Abril,2.0
2002,Mato Grosso,Outubro,9.375
1999,Ceara,Novembro,524.0
1999,Sergipe,Novembro,3.0
1998,Rio,Setembro,44.0
2014,Acre,Agosto,1.1
2015,Distrito Federal,Outubro,21.0
2000,Alagoas,Dezembro,2.0
2016,Goias,Agosto,1.032
2004,Sergipe,Maio,5.0
2001,Acre,Junho,1.0
2010,Rio,Fevereiro,12.0
2001,Piau,Agosto,1.133
2006,Acre,Marco,0.0
2010,Acre,Julho,126.0
2010,Minas Gerais,Outubro,2.048
2010,Tocantins,Marco,120.0
2014,Mato Grosso,Setembro,365.0
2001,Rio,Agosto,36.0
2001,Bahia,Dezembro,158.0
2017,Rio,Agosto,164.0
2016,Roraima,Maio,22.0
1999,Sao Paulo,Julho,684.0
1999,Sao Paulo,Agosto,1.2109999999999999
2000,Tocantins,Abril,0.0
2008,Mato Grosso,Dezembro,159.0
2003,Bahia,Marco,274.0
2012,Rondonia,Agosto,2.209
2006,Rio,Fevereiro,7.0
2009,Rio,Novembro,27.0
2015,Minas Gerais,Julho,288.0
2006,Tocantins,Marco,11.0
2004,Rio,Janeiro,44.0
2003,Sergipe,Novembro,2.0
2011,Paraiba,Janeiro,35.0
2003,Sao Paulo,Maio,69.0
2006,Maranhao,Novembro,2.004
2006,Alagoas,Outubro,32.0
2011,Sergipe,Fevereiro,31.0
2015,Goias,Julho,347.0
2012,Rio,Outubro,163.0
2000,Espirito Santo,Abril,3.0
2016,Acre,Agosto,2.188
2001,Ceara,Novembro,2.456
2002,Pernambuco,Abril,5.0
2004,Rondonia,Agosto,6.893
2007,Paraiba,Dezembro,22.0
2013,Sao Paulo,Dezembro,109.0
2008,Tocantins,Setembro,2.39
2000,Piau,Novembro,450.0
2015,Acre,Julho,109.0
2013,Ceara,Novembro,1.081
2015,Piau,Outubro,4.0680000000000005
2012,Minas Gerais,Novembro,220.0
2016,Paraiba,Agosto,50.0
2008,Paraiba,Junho,0.0
2013,Paraiba,Janeiro,38.0
2001,Espirito Santo,Junho,9.0
2008,Maranhao,Julho,502.0
2005,Sao Paulo,Julho,284.0
2004,Acre,Agosto,645.0
2012,Piau,Maio,334.0
1998,Rio,Abril,0.0
2008,Sergipe,Setembro,0.0
2015,Santa Catarina,Fevereiro,23.0
2011,Sao Paulo,Dezembro,53.0
2009,Bahia,Fevereiro,117.0
2008,Para,Setembro,6.294
2000,Bahia,Maio,71.0
2005,Para,Julho,4.364
2015,Amapa,Abril,0.0
2006,Bahia,Setembro,3.0060000000000002
2002,Espirito Santo,Marï¿½o,4.0
2017,Acre,Maio,10.0
2017,Acre,Marco,0.0
2004,Minas Gerais,Dezembro,125.0
2012,Acre,Abril,1.0
2016,Amapa,Dezembro,491.0
2006,Rio,Maio,24.0
2013,Tocantins,Fevereiro,37.0
1999,Minas Gerais,Abril,27.0
2007,Rondonia,Agosto,4.7860000000000005
1999,Goias,Agosto,1.198
2016,Mato Grosso,Outubro,2.7489999999999997
2004,Rio,Julho,5.0
2015,Rio,Julho,3.0
2013,Distrito Federal,Junho,4.0
1999,Maranhao,Maio,3.0
2013,Ceara,Agosto,32.0
2013,Paraiba,Maio,85.0
1998,Bahia,Novembro,49.0
2002,Paraiba,Fevereiro,18.0
2017,Acre,Novembro,98.0
2003,Amazonas,Outubro,725.0
2010,Paraiba,Junho,3.0
2004,Roraima,Setembro,9.0
2013,Mato Grosso,Abril,338.0
2013,Goias,Marco,79.0
2012,Piau,Agosto,3.614
1998,Roraima,Maio,0.0
1999,Ceara,Agosto,131.0
2008,Sao Paulo,Dezembro,36.0
2004,Alagoas,Dezembro,71.0
2012,Acre,Fevereiro,0.0
2008,Sao Paulo,Agosto,153.0
2013,Ceara,Marco,17.0
2006,Minas Gerais,Junho,73.0
2005,Goias,Janeiro,27.0
2008,Distrito Federal,Agosto,30.0
2009,Paraiba,Fevereiro,21.0
2004,Amapa,Abril,0.0
1998,Alagoas,Novembro,19.0
2003,Rondonia,Julho,516.0
2006,Goias,Setembro,1.463
2008,Tocantins,Dezembro,7.0
2001,Rondonia,Agosto,2.1319999999999997
2013,Paraiba,Setembro,25.0
2012,Mato Grosso,Fevereiro,112.0
2015,Goias,Maio,129.0
2014,Sao Paulo,Julho,476.0
2005,Rio,Fevereiro,4.0
2011,Maranhao,Abril,37.0
2000,Maranhao,Julho,233.0
1999,Distrito Federal,Janeiro,0.0
2014,Pernambuco,Novembro,111.0
2000,Mato Grosso,Dezembro,139.0
2017,Alagoas,Setembro,4.0
2017,Piau,Novembro,449.0
2017,Mato Grosso,Janeiro,355.0
2013,Maranhao,Dezembro,2.6919999999999997
2014,Maranhao,Dezembro,2.4
1998,Goias,Abril,0.0
2004,Espirito Santo,Dezembro,9.0
2004,Amazonas,Fevereiro,92.0
2004,Distrito Federal,Julho,37.0
2001,Rondonia,Abril,0.0
